nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,16,9,0,5.888888888888889,10.0,1.4081883706053907E-4,1.1196809691572283E-4,1.0,0.9030224536037947,1.0,0.9012473723026676,1.859883570196308,8.558748969183739,0,5.888888888888889,15,2.7777777777777777
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,17,5,10,5.533333333333333,7.133333333333334,9.772090926933797E-5,1.1872731196403076E-4,0.941747572815534,0.9054711958559941,0.9381930440070739,0.9290690233412316,0.5702963878814139,5.704516875709226,0,3.4,4,6.066666666666666
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,18,11,0,11.181818181818182,9.818181818181818,1.9768463121368015E-4,1.5149758924548693E-4,1.0,0.864866217627617,1.0,0.8983249034580676,60.70723407378582,20.981499983060043,44,14.363636363636363,14,4.545454545454546
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,19,4,10,5.928571428571429,5.928571428571429,8.354405696190592E-5,1.2223858089137056E-4,0.8018018018018018,0.9270973688214968,0.8155796258156119,0.9255307321347045,0.06434088720336337,4.241544061421314,0,2.7142857142857144,4,6.928571428571429
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,20,4,10,5.428571428571429,3.7857142857142856,1.0255385666990926E-4,1.1856133279917828E-4,0.6528925619834711,0.9438573026516563,0.8215359920419447,0.953265257802376,2.3202835846456145,9.183783076235281,1,6.142857142857143,4,8.357142857142858
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,21,1,10,5.090909090909091,2.8181818181818183,6.539551887567351E-5,1.0068290945576494E-4,0.9047619047619048,0.9546807893650328,0.945245616313234,0.9640866839696933,0.007669444683104715,2.2601894872800616,0,1.1818181818181819,2,8.181818181818182
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,22,6,0,3.1666666666666665,10.0,9.656646833140394E-5,8.165248100022681E-5,1.0,0.9128048536791299,1.0,0.9141461047628691,1.0759247060545385,1.408912486914734,1,1.0,3,2.5
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,23,4,9,4.076923076923077,6.3076923076923075,8.152714638411003E-5,1.0153719496187188E-4,0.8691588785046729,0.9282362569857473,0.8913421675331067,0.9378550016007707,0.014446837743148215,4.048559018694112,0,2.5384615384615383,3,6.153846153846154
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,24,1,0,6.0,10.0,6.539551887567351E-5,1.2149511260334917E-4,1.0,0.9230769230769231,1.0,0.9257274940329818,0.007666293270175264,5.055013138026341,0,3.0,3,10.0
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,25,8,10,8.277777777777779,6.722222222222222,1.327695142169234E-4,1.3908972768075594E-4,0.7241379310344828,0.9536995995399439,0.9092228199454381,0.9268401544815575,8.233315928776518,10.832314814573154,5,6.555555555555555,19,8.555555555555555
