nodes,edges,iterations,damping,tolerance,frontierThreshold,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,10,4,10,6.071428571428571,5.5,9.056691542280172E-5,1.1048164487897515E-4,0.9607843137254902,0.9836181206880431,0.7607060487453372,0.9491314609419613,100.98038166380967,126.48120878685852,0,0.8571428571428571,1,1.9285714285714286
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,11,12,0,4.916666666666667,12.0,1.463599970296016E-4,1.1425790984727982E-4,1.0,0.9351280880770533,1.0,0.9078233137028162,217.20234171536134,73.97192451626678,2,0.8333333333333334,1,0.5
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,12,2,10,5.75,2.5,7.211395068903522E-5,1.015291952463236E-4,0.6949152542372882,0.9811320754716982,0.8545720963863053,0.9768783015504013,27.882398738958464,111.30549323358538,0,0.8333333333333334,1,1.3333333333333333
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,13,11,0,2.3636363636363638,9.818181818181818,1.4418906000209967E-4,7.421477372162982E-5,1.0,0.9460796325391221,1.0,0.9164779853675465,113.38684048233816,23.471179987568863,0,0.0,0,0.2727272727272727
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,14,3,10,8.538461538461538,6.769230769230769,8.079769879904298E-5,1.3390772071471618E-4,0.9607843137254902,0.9628578683901831,0.9357813359925725,0.9372564961607366,41.9002342723577,138.3896696461955,0,1.3846153846153846,0,1.1538461538461537
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,15,4,0,5.25,10.0,8.77446972870492E-5,9.727726419637276E-5,1.0,0.9716981132075472,1.0,0.9090365355128366,87.81136645037505,93.53511331745962,0,0.25,5,0.25
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,16,9,0,5.888888888888889,10.0,1.2682156378208414E-4,1.1907728549684329E-4,1.0,0.9620877790812431,1.0,0.9318233816732303,162.97273180649475,97.35383404853388,0,0.8888888888888888,7,0.3333333333333333
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,17,5,10,5.533333333333333,7.133333333333334,9.642844539705696E-5,1.1399648495460505E-4,0.9607843137254902,0.9771630761641862,0.954795888809217,0.9427200232036035,77.80805152194404,119.69271723225843,0,0.8,0,1.9333333333333333
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,18,11,0,11.181818181818182,9.818181818181818,1.4418906000209967E-4,1.537820014246611E-4,1.0,0.9478570100101732,1.0,0.8905734144152132,430.09912545035,206.74437468988666,0,2.3636363636363638,1,0.45454545454545453
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,19,4,10,5.928571428571429,5.928571428571429,8.77446972870492E-5,1.1353815741901624E-4,0.9230769230769231,0.9702349896578532,0.8811658683713973,0.9469608830638683,47.33928007724917,112.30969845232514,0,1.0,0,1.0714285714285714
